Vehicle ID,Lane,Frame,Timestamp
4082,2,8527,00:04:44
4084,1,8536,00:04:44
4086,1,8556,00:04:45
4100,2,8567,00:04:45
4108,2,8575,00:04:45
4076,1,8610,00:04:46
4116,2,8625,00:04:47
4120,1,8628,00:04:47
4130,2,8643,00:04:48
4088,1,8648,00:04:48
4136,2,8652,00:04:48
4129,1,8654,00:04:48
4141,1,8655,00:04:48
4148,1,8670,00:04:48
4133,2,8675,00:04:49
4154,2,8686,00:04:49
4156,2,8687,00:04:49
4183,2,8768,00:04:52
4180,3,8774,00:04:52
4191,1,8794,00:04:53
4195,1,8796,00:04:53
4202,1,8810,00:04:53
4205,1,8811,00:04:53
4207,1,8818,00:04:53
4199,1,8819,00:04:53
4208,2,8820,00:04:53
4213,1,8830,00:04:54
4179,2,8851,00:04:55
4231,2,8858,00:04:55
4233,2,8862,00:04:55
4225,1,8870,00:04:55
4209,1,8906,00:04:56
4260,2,8919,00:04:57
4270,1,8947,00:04:58
4238,1,9004,00:05:00
4290,1,9022,00:05:00
4316,1,9031,00:05:01
4304,2,9034,00:05:01
4318,2,9036,00:05:01
4261,1,9041,00:05:01
4323,1,9044,00:05:01
4328,1,9049,00:05:01
4331,2,9051,00:05:01
4330,2,9054,00:05:01
4322,3,9058,00:05:01
4347,2,9072,00:05:02
4351,2,9093,00:05:03
4359,2,9111,00:05:03
4367,1,9152,00:05:05
4379,1,9165,00:05:05
4366,2,9172,00:05:05
4376,3,9174,00:05:05
4390,2,9177,00:05:05
4393,2,9183,00:05:06
